Date,Value,Type
01/02/2023,12,NO2
01/03/2023,8,NO2
01/04/2023,30,NO2
01/05/2023,35,NO2
01/06/2023,31,NO2
01/07/2023,29,NO2
01/09/2023,25,NO2
01/10/2023,33,NO2
01/11/2023,25,NO2
01/12/2023,22,NO2
01/13/2023,7,NO2
01/14/2023,6,NO2
01/15/2023,38,NO2
01/16/2023,36,NO2
01/17/2023,26,NO2
01/20/2023,15,NO2
01/21/2023,14,NO2
01/22/2023,16,NO2
01/23/2023,23,NO2
01/24/2023,23,NO2
01/25/2023,11,NO2
01/26/2023,25,NO2
01/27/2023,30,NO2
01/28/2023,30,NO2
01/29/2023,30,NO2
01/30/2023,23,NO2
01/31/2023,19,NO2
02/01/2023,16,NO2
02/02/2023,17,NO2
02/03/2023,8,NO2
02/04/2023,24,NO2
02/05/2023,30,NO2
02/06/2023,41,NO2
02/07/2023,42,NO2
02/08/2023,29,NO2
02/09/2023,23,NO2
02/10/2023,56,NO2
02/11/2023,24,NO2
02/12/2023,8,NO2
02/13/2023,41,NO2
02/14/2023,28,NO2
02/15/2023,31,NO2
02/16/2023,14,NO2
02/17/2023,5,NO2
02/18/2023,26,NO2
02/19/2023,30,NO2
02/20/2023,29,NO2
02/21/2023,19,NO2
02/22/2023,12,NO2
02/23/2023,14,NO2
02/24/2023,17,NO2
02/25/2023,11,NO2
02/26/2023,14,NO2
02/27/2023,11,NO2
02/28/2023,46,NO2
03/01/2023,31,NO2
03/02/2023,16,NO2
03/03/2023,9,NO2
03/04/2023,20,NO2
03/05/2023,33,NO2
03/06/2023,40,NO2
03/07/2023,28,NO2
03/08/2023,35,NO2
03/09/2023,30,NO2
03/10/2023,23,NO2
03/11/2023,25,NO2
03/12/2023,19,NO2
03/13/2023,10,NO2
03/14/2023,9,NO2
03/15/2023,42,NO2
03/16/2023,30,NO2
03/17/2023,12,NO2
03/18/2023,5,NO2
03/19/2023,6,NO2
03/20/2023,40,NO2
03/21/2023,37,NO2
03/22/2023,34,NO2
03/23/2023,36,NO2
03/24/2023,33,NO2
03/25/2023,27,NO2
03/26/2023,25,NO2
03/27/2023,40,NO2
03/28/2023,25,NO2
03/29/2023,42,NO2
03/30/2023,44,NO2
03/31/2023,39,NO2
04/01/2023,8,NO2
04/02/2023,39,NO2
04/03/2023,24,NO2
04/04/2023,8,NO2
04/05/2023,20,NO2
04/06/2023,18,NO2
04/07/2023,10,NO2
04/08/2023,3,NO2
04/09/2023,10,NO2
04/10/2023,33,NO2
04/11/2023,38,NO2
04/12/2023,34,NO2
04/13/2023,25,NO2
04/14/2023,15,NO2
04/15/2023,13,NO2
04/16/2023,14,NO2
04/17/2023,34,NO2
04/18/2023,39,NO2
04/19/2023,40,NO2
04/20/2023,33,NO2
04/21/2023,27,NO2
04/22/2023,27,NO2
04/23/2023,22,NO2
04/24/2023,15,NO2
04/25/2023,27,NO2
04/26/2023,6,NO2
04/27/2023,9,NO2
04/28/2023,25,NO2
04/29/2023,20,NO2
04/30/2023,8,NO2
05/01/2023,21,NO2
05/02/2023,25,NO2
05/03/2023,34,NO2
05/04/2023,41,NO2
05/05/2023,26,NO2
05/06/2023,6,NO2
05/07/2023,16,NO2
05/08/2023,22,NO2
05/09/2023,25,NO2
05/11/2023,7,NO2
05/12/2023,8,NO2
05/13/2023,17,NO2
05/14/2023,17,NO2
05/15/2023,8,NO2
05/16/2023,11,NO2
05/17/2023,17,NO2
05/18/2023,10,NO2
05/19/2023,4,NO2
05/20/2023,5,NO2
05/21/2023,5,NO2
05/22/2023,8,NO2
05/23/2023,9,NO2
05/24/2023,22,NO2
05/25/2023,24,NO2
05/26/2023,7,NO2
05/27/2023,5,NO2
05/28/2023,18,NO2
05/29/2023,11,NO2
05/30/2023,21,NO2
05/31/2023,7,NO2
06/01/2023,25,NO2
06/02/2023,24,NO2
06/03/2023,32,NO2
06/04/2023,27,NO2
06/05/2023,19,NO2
06/06/2023,24,NO2
06/07/2023,25,NO2
06/08/2023,35,NO2
06/09/2023,39,NO2
06/10/2023,35,NO2
06/11/2023,8,NO2
06/12/2023,18,NO2
06/13/2023,25,NO2
06/14/2023,11,NO2
06/15/2023,14,NO2
06/16/2023,25,NO2
06/17/2023,28,NO2
06/18/2023,26,NO2
06/19/2023,6,NO2
06/20/2023,10,NO2
06/21/2023,5,NO2
06/22/2023,11,NO2
06/23/2023,20,NO2
06/24/2023,21,NO2
06/25/2023,21,NO2
06/26/2023,21,NO2
06/27/2023,26,NO2
06/28/2023,27,NO2
06/29/2023,29,NO2
06/30/2023,31,NO2
07/01/2023,14,NO2
07/02/2023,9,NO2
07/03/2023,18,NO2
07/04/2023,16,NO2
07/05/2023,20,NO2
07/06/2023,24,NO2
07/07/2023,15,NO2
07/08/2023,10,NO2
07/09/2023,8,NO2
07/10/2023,23,NO2
07/11/2023,27,NO2
07/12/2023,20,NO2
07/13/2023,16,NO2
07/14/2023,12,NO2
07/15/2023,11,NO2
07/16/2023,9,NO2
07/17/2023,26,NO2
07/18/2023,22,NO2
07/19/2023,23,NO2
07/20/2023,23,NO2
07/21/2023,13,NO2
07/22/2023,14,NO2
07/23/2023,11,NO2
07/24/2023,34,NO2
07/25/2023,28,NO2
07/26/2023,22,NO2
07/27/2023,19,NO2
07/28/2023,22,NO2
07/29/2023,13,NO2
07/30/2023,9,NO2
07/31/2023,14,NO2
08/01/2023,26,NO2
08/02/2023,9,NO2
08/03/2023,17,NO2
08/04/2023,16,NO2
08/05/2023,16,NO2
08/06/2023,14,NO2
08/09/2023,18,NO2
08/10/2023,15,NO2
08/11/2023,18,NO2
08/12/2023,16,NO2
08/13/2023,11,NO2
08/14/2023,17,NO2
08/15/2023,15,NO2
08/16/2023,25,NO2
08/17/2023,25,NO2
08/18/2023,30,NO2
08/19/2023,17,NO2
08/20/2023,25,NO2
08/21/2023,26,NO2
08/22/2023,19,NO2
08/23/2023,13,NO2
08/24/2023,25,NO2
08/25/2023,32,NO2
08/26/2023,20,NO2
08/27/2023,16,NO2
08/28/2023,19,NO2
08/29/2023,10,NO2
08/30/2023,10,NO2
08/31/2023,13,NO2
09/01/2023,6,NO2
09/02/2023,18,NO2
09/03/2023,14,NO2
09/04/2023,23,NO2
09/05/2023,33,NO2
09/06/2023,22,NO2
09/07/2023,23,NO2
09/08/2023,33,NO2
09/09/2023,21,NO2
09/10/2023,13,NO2
09/11/2023,13,NO2
09/12/2023,9,NO2
09/13/2023,23,NO2
09/14/2023,22,NO2
09/15/2023,10,NO2
09/16/2023,9,NO2
09/17/2023,21,NO2
09/18/2023,28,NO2
09/19/2023,18,NO2
09/20/2023,18,NO2
09/21/2023,18,NO2
09/22/2023,33,NO2
09/23/2023,26,NO2
09/24/2023,24,NO2
09/25/2023,36,NO2
09/26/2023,18,NO2
09/27/2023,12,NO2
09/28/2023,15,NO2
09/29/2023,24,NO2
09/30/2023,14,NO2
10/01/2023,19,NO2
10/02/2023,24,NO2
10/03/2023,30,NO2
10/04/2023,24,NO2
10/05/2023,17,NO2
10/06/2023,12,NO2
10/07/2023,6,NO2
10/08/2023,22,NO2
10/09/2023,31,NO2
10/10/2023,22,NO2
10/11/2023,30,NO2
10/12/2023,6,NO2
10/13/2023,8,NO2
10/14/2023,9,NO2
10/15/2023,5,NO2
10/16/2023,12,NO2
10/17/2023,19,NO2
10/18/2023,18,NO2
10/19/2023,14,NO2
10/20/2023,15,NO2
10/21/2023,27,NO2
10/22/2023,25,NO2
10/23/2023,19,NO2
10/24/2023,25,NO2
10/25/2023,18,NO2
10/26/2023,12,NO2
10/27/2023,14,NO2
10/28/2023,27,NO2
10/31/2023,11,NO2
11/01/2023,29,NO2
11/02/2023,31,NO2
11/03/2023,38,NO2
11/04/2023,36,NO2
11/05/2023,34,NO2
11/06/2023,42,NO2
11/07/2023,40,NO2
11/08/2023,27,NO2
11/09/2023,31,NO2
11/10/2023,15,NO2
11/11/2023,8,NO2
11/12/2023,12,NO2
11/13/2023,28,NO2
11/14/2023,14,NO2
11/15/2023,10,NO2
11/16/2023,18,NO2
11/17/2023,18,NO2
11/18/2023,17,NO2
11/19/2023,19,NO2
11/20/2023,8,NO2
11/21/2023,11,NO2
11/22/2023,13,NO2
11/23/2023,19,NO2
11/24/2023,25,NO2
11/25/2023,17,NO2
11/26/2023,19,NO2
11/27/2023,17,NO2
11/28/2023,25,NO2
11/29/2023,37,NO2
11/30/2023,32,NO2
12/01/2023,16,NO2
12/02/2023,11,NO2
12/03/2023,26,NO2
12/04/2023,16,NO2
12/05/2023,35,NO2
12/06/2023,21,NO2
12/07/2023,34,NO2
12/08/2023,28,NO2
12/09/2023,14,NO2
12/10/2023,11,NO2
12/11/2023,25,NO2
12/12/2023,27,NO2
12/13/2023,34,NO2
12/14/2023,31,NO2
12/15/2023,34,NO2
12/16/2023,25,NO2
12/17/2023,7,NO2
12/18/2023,9,NO2
12/20/2023,32,NO2
12/21/2023,40,NO2
12/22/2023,40,NO2
12/23/2023,34,NO2
12/24/2023,18,NO2
12/25/2023,5,NO2
12/26/2023,18,NO2
12/27/2023,28,NO2
12/28/2023,25,NO2
12/29/2023,17,NO2
12/30/2023,14,NO2
12/31/2023,28,NO2
01/01/2023,24,O3
01/02/2023,16,O3
01/03/2023,19,O3
01/04/2023,26,O3
01/05/2023,31,O3
01/06/2023,31,O3
01/07/2023,33,O3
01/08/2023,26,O3
01/09/2023,26,O3
01/10/2023,31,O3
01/11/2023,24,O3
01/12/2023,27,O3
01/13/2023,19,O3
01/14/2023,30,O3
01/15/2023,27,O3
01/16/2023,31,O3
01/17/2023,13,O3
01/18/2023,20,O3
01/19/2023,32,O3
01/20/2023,28,O3
01/21/2023,22,O3
01/22/2023,18,O3
01/23/2023,26,O3
01/24/2023,26,O3
01/25/2023,30,O3
01/26/2023,29,O3
01/27/2023,31,O3
01/28/2023,35,O3
01/29/2023,27,O3
01/30/2023,18,O3
01/31/2023,11,O3
02/01/2023,7,O3
02/02/2023,19,O3
02/03/2023,31,O3
02/04/2023,34,O3
02/05/2023,32,O3
02/06/2023,37,O3
02/07/2023,42,O3
02/08/2023,36,O3
02/09/2023,30,O3
02/10/2023,27,O3
02/11/2023,31,O3
02/12/2023,25,O3
02/13/2023,37,O3
02/14/2023,49,O3
02/15/2023,14,O3
02/16/2023,32,O3
02/17/2023,25,O3
02/18/2023,35,O3
02/19/2023,40,O3
02/20/2023,39,O3
02/21/2023,15,O3
02/22/2023,31,O3
02/23/2023,26,O3
02/24/2023,30,O3
02/25/2023,27,O3
02/26/2023,22,O3
02/27/2023,22,O3
02/28/2023,44,O3
03/01/2023,25,O3
03/02/2023,18,O3
03/03/2023,23,O3
03/04/2023,39,O3
03/05/2023,40,O3
03/06/2023,46,O3
03/07/2023,47,O3
03/08/2023,44,O3
03/10/2023,32,O3
03/11/2023,38,O3
03/12/2023,22,O3
03/13/2023,34,O3
03/14/2023,34,O3
03/15/2023,37,O3
03/16/2023,51,O3
03/17/2023,26,O3
03/18/2023,40,O3
03/19/2023,39,O3
03/20/2023,42,O3
03/21/2023,46,O3
03/23/2023,44,O3
03/24/2023,32,O3
03/25/2023,38,O3
03/26/2023,22,O3
03/27/2023,41,O3
03/28/2023,43,O3
03/29/2023,46,O3
03/30/2023,71,O3
03/31/2023,47,O3
04/01/2023,44,O3
04/02/2023,49,O3
04/03/2023,21,O3
04/04/2023,20,O3
04/05/2023,31,O3
04/06/2023,30,O3
04/07/2023,34,O3
04/08/2023,31,O3
04/09/2023,43,O3
04/10/2023,48,O3
04/11/2023,54,O3
04/12/2023,51,O3
04/13/2023,25,O3
04/14/2023,32,O3
04/15/2023,45,O3
04/16/2023,38,O3
04/17/2023,47,O3
04/18/2023,64,O3
04/19/2023,80,O3
04/20/2023,77,O3
04/21/2023,58,O3
04/22/2023,44,O3
04/23/2023,44,O3
04/24/2023,47,O3
04/25/2023,48,O3
04/26/2023,30,O3
04/27/2023,13,O3
04/28/2023,39,O3
04/29/2023,38,O3
04/30/2023,42,O3
05/01/2023,45,O3
05/02/2023,45,O3
05/03/2023,44,O3
05/04/2023,50,O3
05/05/2023,21,O3
05/06/2023,37,O3
05/07/2023,39,O3
05/08/2023,37,O3
05/09/2023,34,O3
05/10/2023,47,O3
05/11/2023,38,O3
05/12/2023,29,O3
05/13/2023,49,O3
05/14/2023,44,O3
05/15/2023,35,O3
05/16/2023,39,O3
05/17/2023,31,O3
05/18/2023,37,O3
05/19/2023,37,O3
05/20/2023,30,O3
05/21/2023,30,O3
05/22/2023,28,O3
05/23/2023,36,O3
05/24/2023,49,O3
05/25/2023,51,O3
05/26/2023,54,O3
05/27/2023,48,O3
05/28/2023,48,O3
05/29/2023,37,O3
05/30/2023,35,O3
05/31/2023,33,O3
06/01/2023,40,O3
06/02/2023,44,O3
06/03/2023,71,O3
06/04/2023,37,O3
06/05/2023,61,O3
06/06/2023,54,O3
06/07/2023,100,O3
06/08/2023,80,O3
06/09/2023,101,O3
06/10/2023,119,O3
06/11/2023,40,O3
06/12/2023,42,O3
06/13/2023,49,O3
06/14/2023,23,O3
06/15/2023,38,O3
06/16/2023,50,O3
06/17/2023,97,O3
06/18/2023,54,O3
06/19/2023,23,O3
06/20/2023,40,O3
06/21/2023,22,O3
06/22/2023,28,O3
06/23/2023,39,O3
06/24/2023,71,O3
06/25/2023,58,O3
06/26/2023,39,O3
06/27/2023,54,O3
06/28/2023,84,O3
06/29/2023,133,O3
06/30/2023,36,O3
07/01/2023,50,O3
07/02/2023,41,O3
07/03/2023,39,O3
07/04/2023,41,O3
07/05/2023,38,O3
07/06/2023,46,O3
07/07/2023,44,O3
07/08/2023,41,O3
07/09/2023,38,O3
07/10/2023,35,O3
07/11/2023,46,O3
07/12/2023,48,O3
07/13/2023,33,O3
07/14/2023,45,O3
07/15/2023,33,O3
07/16/2023,46,O3
07/17/2023,84,O3
07/18/2023,93,O3
07/19/2023,50,O3
07/20/2023,42,O3
07/21/2023,37,O3
07/22/2023,37,O3
07/23/2023,46,O3
07/24/2023,74,O3
07/25/2023,87,O3
07/26/2023,93,O3
07/27/2023,93,O3
07/28/2023,54,O3
07/29/2023,48,O3
07/30/2023,44,O3
07/31/2023,54,O3
08/01/2023,64,O3
08/02/2023,36,O3
08/03/2023,36,O3
08/04/2023,41,O3
08/05/2023,46,O3
08/06/2023,30,O3
08/08/2023,35,O3
08/09/2023,46,O3
08/10/2023,38,O3
08/11/2023,35,O3
08/12/2023,37,O3
08/13/2023,34,O3
08/14/2023,33,O3
08/15/2023,28,O3
08/16/2023,49,O3
08/17/2023,42,O3
08/18/2023,46,O3
08/19/2023,48,O3
08/20/2023,44,O3
08/21/2023,87,O3
08/22/2023,67,O3
08/23/2023,51,O3
08/24/2023,136,O3
08/25/2023,47,O3
08/26/2023,45,O3
08/27/2023,39,O3
08/28/2023,30,O3
08/29/2023,29,O3
08/30/2023,19,O3
08/31/2023,38,O3
09/01/2023,31,O3
09/02/2023,37,O3
09/03/2023,41,O3
09/04/2023,71,O3
09/05/2023,61,O3
09/06/2023,40,O3
09/07/2023,44,O3
09/08/2023,58,O3
09/09/2023,32,O3
09/10/2023,36,O3
09/11/2023,45,O3
09/12/2023,35,O3
09/13/2023,40,O3
09/14/2023,27,O3
09/15/2023,25,O3
09/16/2023,22,O3
09/17/2023,37,O3
09/18/2023,43,O3
09/19/2023,50,O3
09/20/2023,39,O3
09/21/2023,41,O3
09/22/2023,45,O3
09/23/2023,44,O3
09/24/2023,44,O3
09/25/2023,48,O3
09/26/2023,32,O3
09/27/2023,24,O3
09/28/2023,29,O3
09/29/2023,43,O3
09/30/2023,44,O3
10/01/2023,36,O3
10/02/2023,38,O3
10/03/2023,42,O3
10/04/2023,42,O3
10/05/2023,41,O3
10/06/2023,31,O3
10/07/2023,30,O3
10/08/2023,33,O3
10/09/2023,36,O3
10/10/2023,47,O3
10/11/2023,31,O3
10/12/2023,27,O3
10/13/2023,27,O3
10/14/2023,28,O3
10/15/2023,19,O3
10/16/2023,22,O3
10/17/2023,24,O3
10/18/2023,36,O3
10/19/2023,31,O3
10/20/2023,31,O3
10/21/2023,35,O3
10/22/2023,36,O3
10/23/2023,36,O3
10/24/2023,39,O3
10/25/2023,32,O3
10/26/2023,30,O3
10/27/2023,36,O3
10/28/2023,44,O3
10/29/2023,35,O3
10/30/2023,30,O3
10/31/2023,29,O3
11/01/2023,31,O3
11/02/2023,33,O3
11/03/2023,39,O3
11/04/2023,40,O3
11/05/2023,45,O3
11/06/2023,44,O3
11/07/2023,48,O3
11/08/2023,41,O3
11/09/2023,36,O3
11/10/2023,15,O3
11/11/2023,20,O3
11/12/2023,26,O3
11/13/2023,32,O3
11/14/2023,38,O3
11/15/2023,32,O3
11/16/2023,32,O3
11/17/2023,29,O3
11/18/2023,31,O3
11/19/2023,33,O3
11/20/2023,29,O3
11/21/2023,19,O3
11/22/2023,19,O3
11/23/2023,22,O3
11/24/2023,30,O3
11/25/2023,28,O3
11/26/2023,20,O3
11/27/2023,23,O3
11/28/2023,31,O3
11/29/2023,29,O3
11/30/2023,30,O3
12/01/2023,19,O3
12/02/2023,17,O3
12/03/2023,25,O3
12/04/2023,31,O3
12/05/2023,27,O3
12/06/2023,22,O3
12/07/2023,20,O3
12/08/2023,32,O3
12/09/2023,19,O3
12/10/2023,19,O3
12/11/2023,19,O3
12/12/2023,23,O3
12/13/2023,21,O3
12/14/2023,32,O3
12/15/2023,31,O3
12/16/2023,29,O3
12/17/2023,22,O3
12/18/2023,29,O3
12/19/2023,26,O3
12/20/2023,26,O3
12/21/2023,31,O3
12/22/2023,31,O3
12/23/2023,33,O3
12/24/2023,32,O3
12/25/2023,27,O3
12/26/2023,9,O3
12/27/2023,20,O3
12/28/2023,26,O3
12/29/2023,21,O3
12/30/2023,18,O3
12/31/2023,29,O3
01/01/2023,6,CO
01/02/2023,11,CO
01/03/2023,2,CO
01/04/2023,6,CO
01/05/2023,8,CO
01/06/2023,5,CO
01/07/2023,9,CO
01/08/2023,8,CO
01/09/2023,5,CO
01/10/2023,6,CO
01/11/2023,10,CO
